Project_Name,Project_URL,Project_Hash,Flakiness Category 
docker_compose,https://github.com/docker/compose/,2351e11cc8410cee9472cda38b685204e6252084,Unknown Categories
domain-validation,https://github.com/ElliotVilhelm/python-domain-validation,941a6ae29c565f49e98f106b427624874b47f973,network
sports.py,https://github.com/evansloan/sports.py,a2ce0b3cde2e41f5d15e265d9190b6b79828124b,network
Python-matlab-functions,https://github.com/fzyukio/python-matlab-functions,2860bf48f904d546af75143c531750c8857670bc,Random
arlib,https://github.com/gongliyu/arlib,6918f0146dab459369ec2861fe68d796acff8ea6,unordered collection
gwosc,https://github.com/gwpy/gwosc,06b56ce506fda3af4857c8a1aae7bb60fb1925e9,network
cronjob,https://github.com/havefun-plus/cronjob,a2fd9289f44696c5c06ece9cec8dc5315300eecf,time
cvbase,https://github.com/hellock/cvbase,e48d2f76aaeea6472b2175c37780f7b90ae7f1b6,concurrency
service-manager,https://github.com/hmrc/service-manager,e0a9f2a08e139e23d8a1199a2208b4f5a355a0be,time
beem,https://github.com/holgern/beem,f3c3bd84daccac1ee4ed45c1ada0f88f29ca3f2f,random
helpers,https://github.com/infosmith/helpers,72c40cf1d1a46875f2956e8827a55d4232db48cb,random
dicom-standard,https://github.com/innolitics/dicom-standard,4d40ca75e3af51dd8fc2b027a7f79b6a2f4193cb,network
Hotwing-core,https://github.com/jasonhamilton/hotwing-core,f4d864b1618e928bd981540b2a446bdb74023ca6,Random
py_ev,https://github.com/JBielan/py_ev,0a2d48235b8ff2268254c151a179a2ece40cbd37,random
xphyle,https://github.com/jdidion/xphyle,9f66b129130a368611fb2ab0027c6218b1a13a50,IO
jgutils,https://github.com/jerodg/jgutils,6c8ed6aca37d509af8ce1b57635fad62f1c846b4,Random
pipm,https://github.com/jnoortheen/pipm,a9e0f89e80addea18fd3efdc7b4f6eabd6b6988a,IO
svp,https://github.com/joshmgrant/svp,fdf64445d8038b4df5ab2181eb6306d56e3b5162,network
gamble.git,https://github.com/jpetrucciani/gamble.git,d17b25899183a4c4b25fe644024ff754132ae513,random
jupyterhub,https://github.com/jupyterhub/jupyterhub/,a090632a486c9d96eb679cdc1f8fb75c292752dd,Async Wait
keras,https://github.com/keras-team/keras/,78691340edd38b00668151c2e636ddbf370f9ef3,Async Wait
keras,https://github.com/keras-team/keras/,532515cbb00199f32dc365fecef1946e8cb2903c,Precision
keras,https://github.com/keras-team/keras/,1c7585a5639970837a3e37b5c87ac8fe0f2ae212,Random
keras,https://github.com/keras-team/keras/,f9911c10b46df0ffaf93cc90a9c008f00026d23d,Random
keras,https://github.com/keras-team/keras/,f9325e8fe5fe002f9720b7cb1c6d3614948a10ea,Random
keras,https://github.com/keras-team/keras/,18d52e634d75074983cba62f51c3fc6737828d97,Random
keras,https://github.com/keras-team/keras/,447445388ea934f991eaef033beba5c512c5945c,Random
keras,https://github.com/keras-team/keras/,71df15c84ab73db38a4524b7c0fb7dfac2d14f82,Random
keras,https://github.com/keras-team/keras/,ea5cb74414286de3bdeb8b752a161e006b9286fa,Random
keras,https://github.com/keras-team/keras/,151a6fbab9e20b586ca435fc051405ddee7c95a8,Too Restrictive Range
keras,https://github.com/keras-team/keras/,258cf3b0f73642116b395656fe498df8d827efcd,Too Restrictive Range
keras,https://github.com/keras-team/keras/,5308033936aa05bec65f11a6769ffbc904d0cac3,Too Restrictive Range
keras,https://github.com/keras-team/keras/,2ac31074fe85e7bc874574a12c8b44adb7fca64c,Unknown Categories
pytsmb,https://github.com/kithomak/pytsmp,15d58a39e016100fb44cdcc9f6115fa7736eb2bb,Random
python-cuckoo,https://github.com/Leechael/python-cuckoo,fa7a87cd482e8a204c94b860c3066c3c1813ff36,random
dcard-spider,https://github.com/leVirve/dcard-spider,ac64cbcfe7ef6be7e554cef422b1a8a6bb968d46,network
sida,https://github.com/liusida/sida,77635d2b08c87612330db8612b70ee85c0d57268,network
cenpy,https://github.com/ljwolf/cenpy,03eefcfd885c48e018cf74abaf46ee03aa7ac119,network
filtered_intervaltree,https://github.com/lostinplace/filtered-intervaltree,37da431ed36dc9e7936ebd330869f142538ef79d,Random
packeteer,https://github.com/lungdart/packeteer,2c6e0e8683462e17ff095a89f13a10daf29ef9e0,Random
pyais,https://github.com/M0r13n/pyais,d2ca5ff08c532fce5da1c9d268eb453924f12a33,network
pyvesync,https://github.com/markperdue/pyvesync,4a43bad8a7b9d3b2e7f580f1f3739f27a00bdc2b,time
matplotlib,https://github.com/matplotlib/matplotlib,fd41efc6cfce357d4f0ddb64c11e778e8a7a16d3,Test Order Dependency
matplotlib,https://github.com/matplotlib/matplotlib,476445234b7a7046893b56a132d2220a295827e4,Concurrency
ploceidae,https://github.com/MATTHEWFRAZER/ploceidae,dad989756318127dc70d05b4ccdd1a3d8142dab1,resource leak
RanCat,https://github.com/mattjegan/rancat,b59f5abf7e187816034be9169ecd53af87ce017d,network
analytic_shrinkage,https://github.com/matzhaugen/analytic_shrinkage,752a0f90696b1ca27a8b84ada3616cdfc98004a9,Random
nba_scraper,https://github.com/mcbarlowe/nba_scraper,42a2a1f8f73f6d8ed97636582899d5efda8d0665,network
truffleHog,https://github.com/MechanicalRock/truffleHog,5e7f32d4005f82e66b2b9ccd44fcac8e02c1aa34,IO
scikit-procrustes,https://github.com/melissawm/skprocrustes,05b6fd4fcc6cb0d7b8d1115dc562a0f8f7e227b2,random
langsplit,https://github.com/mindey/langsplit,d30d47bd6f73852dc716f1e79225d8d49dc39daa,Random
data-genie,https://github.com/mkeshav/data-genie.git,cde77b7bdb445557f78d834d72d51bb62ad9e668,Random
SSLyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,network
BeautifulSauce,https://github.com/nateraw/BeautifulSauce,f587e638abea1716427713d8a814e30331efb18b,network
Neuraxle,https://github.com/Neuraxio/Neuraxle,20c6e5713198345b43bf6899355f1b5cf65eb02c,Random
threadedprocess,https://github.com/nilp0inter/threadedprocess,0120d6e795782c9f527397490846cd214d9196e1,concurrency
CHESS,https://github.com/nishaq503/CHESS,6f84e7e98d328150170141621cc095dfa80ef67e,Random
spreading_dye_sampler,https://github.com/NLeSC/spreading_dye_sampler,4282f7609959a31d1b2a4832f3ed643b15c46cb6,Random
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd,Random
pandas,https://github.com/pandas-dev/pandas/,f8bd08e9c2fc6365980f41b846bbae4b40f08b83,Time
pandas,https://github.com/pandas-dev/pandas/,dcf7fce19a662a86a2892396472e052ab9f69708,Time
pandas,https://github.com/pandas-dev/pandas/,ac318d26cdbe3d10030f4863b84a06e938da9bba,Time
pandas,https://github.com/pandas-dev/pandas/,cb0d339f48b2cf27d37f6a97be2861899ec05ff2,Time
pandas,https://github.com/pandas-dev/pandas/,fb62fcf91c874e9c24fa83693c4e6e613f35f864,Time
pandas,https://github.com/pandas-dev/pandas/,98f05eb46e4b981bc628d0e1fc9c91e202a238db,Precision
pandas,https://github.com/pandas-dev/pandas/,1c0eb45803f7c901d5cd04480e0b4327912a01c2,Order Dependency
pandas,https://github.com/pandas-dev/pandas/,970499d9660a4f4a1df3e1f8ce3015336ffb4d41,Too Restrictive Range / Random
noipy,https://github.com/povieira/noipy,c35add5386b57547c5a72650145a267dc88fa77e,network
piripherals,https://github.com/quantenschaum/piripherals,74e4807a64363e3c95a03222fa250a1073387eaf,async wait
words-to-regular-expression,https://github.com/radeklat/words-to-regular-expression,6be1a3846f4bc07a2264b72d1e1ee031c605bac7,random
cuckoopy,https://github.com/rajathagasthya/cuckoopy,e5fab0c4826387f99ddafb0365759cb7111cfd64,random
pykew,https://github.com/RBGKew/pykew,557c1852ad7a4366467e344e7a46b42549ce8694,network
fontMath,https://github.com/robotools/fontMath,7f84204033c2d0a284d02e626320ee27c3dfa5ee,Random
salt,https://github.com/saltstack/salt,5ea3fb2cf241bbc18656fc65752f0a92e950266d,Time
salt,https://github.com/saltstack/salt,6693180cefc2289f17d3da30587f6f5bddb6e3d4,Async Wait
salt,https://github.com/saltstack/salt,8c2cde3c2160b8d14744ecc9e591650f00af2d1e,Async Wait
salt,https://github.com/saltstack/salt,2e55ff0075da17c0a0bc04f0287985137f22851b,Async Wait
salt,https://github.com/saltstack/salt,4ac4305c18152757aa12ad5859d7e2569dd53c91,Too Restrictive Range / Random
salt,https://github.com/saltstack/salt,c927f1bc2b4fff30e55731502e78d5992f03154f,Resource Leak
vimms,https://github.com/sdrogers/vimms,fcae1a81b4fa4c4913fd0bd3af9b79be8122feaa,random
python_filmaffinity,https://github.com/sergiormb/python_filmaffinity,b8042de57e95f38a1c767a84ba77cc74f70a1e2c,network
WattTime,https://github.com/stoltzmaniac/WattTime,1f2761a752c6cc241c20e854a7a247349b57be36,network
trainline-python,https://github.com/tducret/trainline-python,9c9991346f0d2578f8676c353df140bb0b60bd91,network
JavPy,https://github.com/TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,network
discovery-client,https://github.com/tomwei7/discovery-client,b10094532ae22eaebd9d093f9550fa75886a3a88,async wait
torchgan,https://github.com/torchgan/torchgan,fc8b01a1b34d0f19c4860ff6dac2568d357fe069,network
pympesa,https://github.com/TralahM/pympesa,46839de00a868db0e674c6733d5daaf83293f588,network
pywsl,https://github.com/t-sakai-kure/pywsl,79a5bf104a53cb6d3498918e435bd88ac5331543,Random
Verifone,https://github.com/vilkasgroup/Verifone,5509c08767a9b482cfe5a9572854cf4c73ad6c02,network
orderly-web-deploy,https://github.com/vimc/orderly-web-deploy,550e1f21df54cb71ffab2411f45e7bd49095279a,network
vault-dev,https://github.com/vimc/vault-dev,ccec5a246e4c05358a57fb68d821a16910d2a125,async wait
py-finstmt,https://github.com/whoopnip/py-finstmt,820407a87f03377072b545923febd1086def1bec,random
selenium-wire,https://github.com/wkeeling/selenium-wire,f80339bc2da0485fbba4165375c009b90efdb3c2,network
Intervallum,https://github.com/wol4aravio/Intervallum,e314ee624f09b09913475b02470103095fc076ff,Random
dict,https://github.com/wufeifei/dict,89e730dbc035da6b5ceb598833d2eafc5343864d,network
PyXenaValkyrie,https://github.com/xenadevel/PyXenaValkyrie,92b45f1f37a5589cbdb9224a287fa0426d2c8d47,network
lineflow,https://github.com/yasufumy/lineflow,677ed8ba2374f084d58864c2027a7d0245e8f198,network
pyupload,https://github.com/yukinotenshi/pyupload,32fb1ea1eb38c14e1fa2b23e7a923448625c1946,network
wellpathpy,https://github.com/Zabamund/wellpathpy,f29b14a9a1c46e77ea98b141e3cdc43674654ea2,Random
GoogleFreeTrans,https://github.com/ziliwang/GoogleFreeTrans,b1f067107b95005778ea8c019a7a903e77e25859,network
zulip,https://github.com/zulip/zulip/,934bdb9651a219edb6b7581dfdd48e889d652eb5,Timeout
zulip,https://github.com/zulip/zulip/,43e76816ff1f14158e36bdd2eb3003f4967ff177,Time
zulip,https://github.com/zulip/zulip/,1ef9b7982ee27838139e18fdd50819281e02544b,Time
zulip,https://github.com/zulip/zulip/,ea075dd0438236eae6caaf9e0963719edb64249d,Concurrency
zulip,https://github.com/zulip/zulip/,9cb9e0d68798bd3bf41821eb453f5b90c07136b7,Concurrency
zulip,https://github.com/zulip/zulip/,947ce2b79de22e0434e72234eed51a32d0f70cf3,Too Restrictive Range / Random
zulip,https://github.com/zulip/zulip/,78f6e3ac7dca241860d83ca77461dac5a2dd588d,Too Restrictive Range / Random
zulip,https://github.com/zulip/zulip/,a036a72db66b5976d067a4d6d9002f7020affd65,Platform Dependency
